学科1,学科2,成绩3,111
90,100,0,0
87,98,0,0
71,82,0,0
75,70,0,0
70,85,0,0
71,98,0,0
94,74,0,0
98,77,0,0
80,84,0,0
97,91,0,0
79,87,0,0
99,71,0,0
75,90,0,0
97,79,0,0
92,77,0,0
67,90,0,0
90,88,0,0
74,85,0,0
83,80,0,0
87,75,0,0
73,90,0,0
71,90,0,0
74,90,0,0
71,97,0,0
83,74,0,0
84,93,0,0
92,84,0,0
100,100,100,0
81,79,0,0
74,97,0,0
88,76,0,0
94,70,0,0
95,75,0,0
98,88,0,0
95,79,0,0
74,82,0,0
67,96,0,0
98,95,0,0
94,80,0,0
75,81,0,0
98,74,0,0
84,69,0,0
77,76,0,0
67,92,0,0
84,84,0,0
85,76,0,0
99,77,0,0
88,93,0,0
91,85,0,0
86,75,0,0
10,20,30,0
